ENTITY_NAME*|*ENTITY_NUM*|*INITIAL_FILING_DATE*|*JURISDICTION*|*ENTITY_STATUS*|*STANDING_SOS*|*ENTITY_TYPE*|*FILING_TYPE*|*FOREIGN_NAME*|*STANDING_FTB*|*STANDING_VCFCF*|*STANDING_AGENT*|*SUSPENSION_DATE*|*LAST_SI_FILE_NUMBER*|*LAST_SI_FILE_DATE*|*PRINCIPAL_ADDRESS*|*PRINCIPAL_ADDRESS2*|*PRINCIPAL_CITY*|*PRINCIPAL_STATE*|*PRINCIPAL_COUNTRY*|*PRINCIPAL_POSTAL_CODE*|*MAILING_ADDRESS*|*MAILING_ADDRESS2*|*MAILING_ADDRESS3*|*MAILING_CITY*|*MAILING_STATE*|*MAILING_COUNTRY*|*MAILING_POSTAL_CODE*|*PRINCIPAL_ADDRESS_IN_CA*|*PRINCIPAL_ADDRESS2_IN_CA*|*PRINCIPAL_CITY_IN_CA*|*PRINCIPAL_STATE_IN_CA*|*PRINCIPAL_COUNTRY_IN_CA*|*PRINCIPAL_POSTAL_CODE_IN_CA*|*LLC_MANAGEMENT_STRUCTURE*|*TYPE_OF_BUSINESS
LABB ENTERTAINMENT*|*B20260327304*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*16424 INDIANA AVE*|**|*PARAMOUNT*|*CA*|*United States*|*90723*|*16424 INDIANA AVE*|**|**|*PARAMOUNT*|*CA*|*United States*|*90723*|**|**|**|**|**|**|**|*
LabCraft Inc*|*B20260326777*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4830 MELVIN DR*|**|*CARMICHAEL*|*CA*|*United States*|*95608*|*4830 MELVIN DR*|**|**|*CARMICHAEL*|*CA*|*United States*|*95608*|**|**|**|**|**|**|**|*
Labor Intelligence Works LLC*|*B20260322437*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
LACA Construction, LLC*|*B20260323471*|*07/14/2026*|*WYOMING*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5830 E 2ND ST STE 14*|**|*CASPER*|*WY*|*United States*|*82609*|*349 MORAGA AVE*|**|**|*PIEDMONT*|*CA*|*United States*|*94611*|*349 MORAGA AVE*|**|*PIEDMONT*|*CA*|*United States*|*94611*|**|*
LADD ROAD RANCH, LLC*|*B20260327274*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261459834*|*Jul 16 2026 11:41AM*|*1518 K STREET*|**|*MODESTO*|*CA*|*United States*|*95354*|*1518 K STREET*|**|**|*MODESTO*|*CA*|*United States*|*95354*|*1518 K STREET*|**|*MODESTO*|*CA*|*United States*|*95354*|*One Manager*|*Real estate holding
Ladies Of Leisure LLC*|*B20260320925*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3183 MAYACAMA WAY*|**|*ONTARIO*|*CA*|*United States*|*91761*|*3183 MAYACAMA WAY*|**|**|*ONTARIO*|*CA*|*United States*|*91761*|**|**|**|**|**|**|*All LLC Member(s)*|*
Ladoo Learn Punjabi, LLC*|*B20260321130*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3760 ATLANTIC AVENUE*|**|*LONG BEACH*|*CA*|*United States*|*90807*|*3760 ATLANTIC AVENUE*|**|**|*LONG BEACH*|*CA*|*United States*|*90807*|**|**|**|**|**|**|*One Manager*|*
LADS Provisions LLC*|*B20260328181*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*18626 E. COPPEROPOLIS RD.*|**|*LINDEN*|*CA*|*United States*|*95236*|*18626 E. COPPEROPOLIS RD.*|**|**|*LINDEN*|*CA*|*United States*|*95236*|**|**|**|**|**|**|*All LLC Member(s)*|*
LAHJ LEGACY XCV LLC*|*B20260320974*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3400 COTTAGE WAY, STE G2 #36175*|**|*SACRAMENTO*|*CA*|*United States*|*95825*|*3400 COTTAGE WAY, STE G2 #36175*|**|**|*SACRAMENTO*|*CA*|*United States*|*95825*|**|**|**|**|**|**|*All LLC Member(s)*|*
Lakes Gear Inc*|*B20260328849*|*07/17/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261469335*|*Jul 17 2026  4:41PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|**|*Any lawful purpose
Lakese Transports LLC*|*B20260322670*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3631TRUXEL ROAD*|*#1041*|*SACRAMENTO*|*CA*|*United States*|*95834*|*3631 TRUXEL ROAD*|*#1041*|**|*SACRAMENTO*|*CA*|*United States*|*95834*|**|**|**|**|**|**|*One Manager*|*
Lakshya Builders LLC*|*B20260325433*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5170 HARWOOD ROAD*|**|*SAN JOSE*|*CA*|*United States*|*95124*|*5170 HARWOOD ROAD*|**|**|*SAN JOSE*|*CA*|*United States*|*95124*|**|**|**|**|**|**|*All LLC Member(s)*|*
Lala's Nails LLC*|*B20260321560*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1620 DARWIN ST*|**|*SEASIDE*|*CA*|*United States*|*93955*|*1620 DARWIN ST*|**|**|*SEASIDE*|*CA*|*United States*|*93955*|**|**|**|**|**|**|*One Manager*|*
LALIU LUXURY LLC*|*B20260327557*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261467524*|*Jul 17 2026  1:18PM*|*5434 LA PALMA AVE 178*|**|*LA PALMA*|*CA*|*United States*|*91623*|*5434 LA PALMA AVE 178*|**|**|*LA PALMA*|*CA*|*United States*|*91623*|**|**|**|**|**|**|*All LLC Member(s)*|*TAXI LIMO SERVICE
LAMAK ENTERPRISE LLC*|*B20260324997*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*589 N JOHNSON AVE UNIT 221*|**|*EL CAJON*|*CA*|*United States*|*92020*|*589 N JOHNSON AVE UNIT 221*|**|**|*EL CAJON*|*CA*|*United States*|*92020*|**|**|**|**|**|**|*All LLC Member(s)*|*
Lambeau Industries, LLC*|*B20260320919*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1355 16TH AVENUE*|**|*SAN FRANCISCO*|*CA*|*United States*|*94122*|*1355 16TH AVENUE*|**|**|*SAN FRANCISCO*|*CA*|*United States*|*94122*|**|**|**|**|**|**|*All LLC Member(s)*|*
Landford Construction Inc.*|*B20260327018*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261470352*|*Jul 18 2026  5:18AM*|*14850 OKA RD*|*APT. 47*|*LOS GATOS*|*CA*|*United States*|*95032*|*14850 OKA RD*|*APT. 47*|**|*LOS GATOS*|*CA*|*United States*|*95032*|*14850 OKA RD*|*APT. 47*|*LOS GATOS*|*CA*|*United States*|*95032*|**|*Remodeling Services
Lanier Healthcare Advisors, LLC*|*B20260321937*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*4040 JENNINGS DR*|**|*LOS ANGELES*|*CA*|*United States*|*90032*|*4040 JENNINGS DR*|**|**|*LOS ANGELES*|*CA*|*United States*|*90032*|**|**|**|**|**|**|*One Manager*|*
LANSDOWNE INC*|*B20260326679*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261464167*|*Jul 17 2026  1:27AM*|*26054 ACERO,*|**|*MISSION VIEJO*|*CA*|*United States*|*92691*|*26054 ACERO,*|**|**|*MISSION VIEJO*|*CA*|*United States*|*92691*|**|**|**|**|**|**|**|*Any legal purpose
Lantern Trees LLC*|*B20260321074*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2631 BIG WAGON RD.*|**|*ALPINE*|*CA*|*United States*|*91901*|*2631 BIG WAGON RD.*|**|**|*ALPINE*|*CA*|*United States*|*91901*|**|**|**|**|**|**|*One Manager*|*
LANXIT, INC.*|*B20260324020*|*07/15/2026*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2143 SKY VIEW CT*|**|*MORAGA*|*CA*|*United States*|*94556*|*2143 SKY VIEW CT*|**|**|*MORAGA*|*CA*|*United States*|*94556*|*2143 SKY VIEW CT*|**|*MORAGA*|*CA*|*United States*|*94556*|**|*
Lara's Custom Woodwork, Inc.*|*B20260327231*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Close*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*37533 ENTERPRISE COURT*|*SUITE A*|*NEWARK*|*CA*|*United States*|*94560*|*37533 ENTERPRISE COURT*|*SUITE A*|**|*NEWARK*|*CA*|*United States*|*94560*|**|**|**|**|**|**|**|*
LAROUX WHISKERS INC.*|*B20260325521*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*6981 KING RD*|**|*LOOMIS*|*CA*|*United States*|*95650*|*6981 KING RD*|**|**|*LOOMIS*|*CA*|*United States*|*95650*|**|**|**|**|**|**|**|*
Larry Hopkins 1048, LLC*|*B20260325418*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*2459 AUTO MALL PARKWAY*|**|*FAIRFIELD*|*CA*|*United States*|*94533*|*2459 AUTO MALL PARKWAY*|**|**|*FAIRFIELD*|*CA*|*United States*|*94533*|**|**|**|**|**|**|*More Than One Manager*|*
Larson Arbor Co LLC*|*B20260325247*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261458056*|*Jul 16 2026  8:55AM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*All LLC Member(s)*|*Tree Service and ISA arborist consulting
LAS PARRILLAS RESTAURANT LLC*|*B20260328360*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3282 MIDDLEFIELD ROAD*|**|*MENLO PARK*|*CA*|*United States*|*94025*|*3282 MIDDLEFIELD ROAD*|**|**|*MENLO PARK*|*CA*|*United States*|*94025*|**|**|**|**|**|**|*One Manager*|*
Laserax US Holding Inc.*|*B20260325115*|*07/15/2026*|*DELAWARE*|*Active*|*Good*|*Stock Corporation - Out of State - Stock*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*50489 PONTIAC TRAIL*|**|*WIXOM*|*MI*|*United States*|*48393*|*50489 PONTIAC TRAIL*|**|**|*WIXOM*|*MI*|*United States*|*48393*|**|**|**|**|**|**|**|*
Lash Garden LLC*|*B20260326476*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*15760 VENTURA BLVD*|*110*|*ENCINO*|*CA*|*United States*|*91436*|*5354 YARMOUTH AVENUE*|*1*|**|*ENCINO*|*CA*|*United States*|*91316*|**|**|**|**|**|**|*One Manager*|*
Lashell Holdings LLC*|*B20260328587*|*07/17/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*28701 PUJOL STREET,*|*309*|*TEMECULA*|*CA*|*United States*|*92590*|*28701 PUJOL STREET,*|*309*|**|*TEMECULA*|*CA*|*United States*|*92590*|**|**|**|**|**|**|*All LLC Member(s)*|*
Lasper Gasvon LLC*|*B20260323456*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*401 W ASH ST #1720*|**|*SAN DIEGO*|*CA*|*United States*|*92101*|*401 W ASH ST #1720*|**|**|*SAN DIEGO*|*CA*|*United States*|*92101*|**|**|**|**|**|**|*One Manager*|*
Last Chance Foresthill Moto Camp & Club*|*B20260326947*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5830 RAND AL RD*|**|*FORESTHILL*|*CA*|*United States*|*95631*|*5830 RAND AL RD*|**|**|*FORESTHILL*|*CA*|*United States*|*95631*|**|**|**|**|**|**|**|*
LAST DROP PRODUCTIONS, LLC*|*B20260324478*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261459792*|*Jul 16 2026 11:36AM*|*23480 CAMBRIDGE ROAD*|**|*YORBA LINDA*|*CA*|*United States*|*92887*|*23480 CAMBRIDGE ROAD*|**|**|*YORBA LINDA*|*CA*|*United States*|*92887*|**|**|**|**|**|**|*One Manager*|*EVENT PLANNING
LAST GEN MINISTRIES INC*|*B20260323554*|*07/14/2026*|*FLORIDA*|*Active*|*Good*|*Nonprofit Corporation - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*13033 LAMIA POINT*|**|*SAN DIEGO*|*CA*|*United States*|*92130*|*13033 LAMIA POINT*|**|**|*SAN DIEGO*|*CA*|*United States*|*92130*|*13033 LAMIA POINT*|**|*SAN DIEGO*|*CA*|*United States*|*92130*|**|*
Late Bloomer Fitness LLC*|*B20260328685*|*07/17/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*500 DAVIS ST.*|*STE 100*|*SAN LEANDRO*|*CA*|*United States*|*94577*|*2635 LANCASTER DRIVE*|*APT. 20*|**|*RICHMOND*|*CA*|*United States*|*94806*|**|**|**|**|**|**|*All LLC Member(s)*|*
Late Break Pitching Co. LLC*|*B20260327395*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*32034 GREEN HILL DRIVE*|**|*CASTAIC*|*CA*|*United States*|*91384*|*32034 GREEN HILL DRIVE*|**|**|*CASTAIC*|*CA*|*United States*|*91384*|**|**|**|**|**|**|*One Manager*|*
Latifah LLC*|*B20260326531*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*3037 W KRUGER AVE*|**|*RIVERDALE*|*CA*|*United States*|*93656*|*3037 W KRUGER AVE*|**|**|*RIVERDALE*|*CA*|*United States*|*93656*|**|**|**|**|**|**|*All LLC Member(s)*|*
LATINA CLINICA DENTAL CORPORATION*|*B20260327684*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261469909*|*Jul 17 2026  7:30PM*|*215 CHINA GRADE LOOP*|*B*|*BAKERSFIELD*|*CA*|*United States*|*93308*|*215 CHINA GRADE LOOP*|*B*|**|*BAKERSFIELD*|*CA*|*United States*|*93308*|**|**|**|**|**|**|**|*
Latinos Unidos en Democracia*|*B20260321916*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Nonprofit Corporation - CA - Public Benefit*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261447461*|*Jul 14 2026  4:02PM*|*5630 CASITA CT*|**|*PALMDALE*|*CA*|*United States*|*93552*|*5630 CASITA CT*|**|**|*PALMDALE*|*CA*|*United States*|*93552*|**|**|**|**|**|**|**|*
Laugh after war, LLC*|*B20260323773*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261457595*|*Jul 16 2026  7:24AM*|*159 HARDY AV*|**|*CAMPBELL*|*CA*|*United States*|*95008*|*159 HARDY AV*|**|**|*CAMPBELL*|*CA*|*United States*|*95008*|**|**|**|**|**|**|*One Manager*|*PRODUCT SALES
Laumalt Trading LLC*|*B20260328673*|*07/17/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1515 W VICTORY BLVD*|**|*BURBANK*|*CA*|*United States*|*91506*|*1515 W VICTORY BLVD*|**|**|*BURBANK*|*CA*|*United States*|*91506*|**|**|**|**|**|**|*One Manager*|*
Launch Valley Tutoring LLC*|*B20260325845*|*07/15/2026*|*WYOMING*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*19655 SINGING HILLS DR*|**|*PORTER RANCH*|*CA*|*United States*|*91326*|*19655 SINGING HILLS DR*|**|**|*PORTER RANCH*|*CA*|*United States*|*91326*|**|**|**|**|**|**|*All LLC Member(s)*|*
Laura Berry Bookkeeping, LLC*|*B20260324372*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*1155 WOODLAND AVENUE*|**|*CHICO*|*CA*|*United States*|*95928*|*1155 WOODLAND AVENUE*|**|**|*CHICO*|*CA*|*United States*|*95928*|**|**|**|**|**|**|*One Manager*|*
Laura Dorman Consulting LLC*|*B20260324252*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261453984*|*Jul 15 2026  2:01PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*All LLC Member(s)*|*Business Consulting
Laura Hobbs LLC*|*B20260327995*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*927 BLOOMWOOD ROAD*|**|*LOS ANGELES*|*CA*|*United States*|*90731*|*927 BLOOMWOOD ROAD*|**|**|*LOS ANGELES*|*CA*|*United States*|*90731*|**|**|**|**|**|**|*All LLC Member(s)*|*
Laurels at Miller Community Association*|*B20260326478*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
LAVII FURNITURE LLC*|*B20260324574*|*07/14/2026*|*NEVADA*|*Active*|*Good*|*Limited Liability Company - Out of State*|*Foreign*|**|*Good*|*Good*|*Good*|**|*BA20261464229*|*Jul 17 2026  3:20AM*|*26532 TOWNE CENTRE DR SUITES A & B*|**|*FOOTHILL RANCH*|*CA*|*United States*|*92610*|*23 CORALWOOD DR*|**|**|*LAS VEGAS*|*NV*|*United States*|*89135*|*26532 TOWNE CENTRE DR SUITES A & B*|**|*FOOTHILL RANCH*|*CA*|*United States*|*92610*|**|*FURNITURE RETAIL
Law & Mediation Offices of Dan DeSario & Associates, APC, Professional Corporation*|*B20260319006*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261455408*|*Jul 15 2026  4:04PM*|*10501 WILSHIRE BLVD UNIT 2012*|**|*LOS ANGELES*|*CA*|*United States*|*90024*|*10501 WILSHIRE BLVD UNIT 2012*|**|**|*LOS ANGELES*|*CA*|*United States*|*90024*|*10501 WILSHIRE BLVD UNIT 2012*|**|*LOS ANGELES*|*CA*|*United States*|*90024*|**|*Law Practice
Law Office of Sara M. Scott, PC*|*B20260325225*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*155 N. RIVERVIEW DRIVE*|**|*ANAHEIM*|*CA*|*United States*|*92808*|*155 N. RIVERVIEW DRIVE*|**|**|*ANAHEIM*|*CA*|*United States*|*92808*|**|**|**|**|**|**|**|*
Law Offices of Brandon Yee, PC*|*B20260322716*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Name Reservation*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|**|*
LawnLee LLC*|*B20260321009*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261446860*|*Jul 14 2026  3:10PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*One Manager*|*Any business purpose.
Laws Consulting Group, LLC*|*B20260325848*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*408 FORD RD*|*SUITE A*|*COSTA MESA*|*CA*|*United States*|*92627*|*408 FORD RD*|*SUITE A*|**|*COSTA MESA*|*CA*|*United States*|*92627*|**|**|**|**|**|**|*One Manager*|*
Lawtus, PC*|*B20260326763*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - Professional*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261467158*|*Jul 17 2026 12:36PM*|*2670 N MAIN ST, FLOOR 3*|**|*SANTA ANA*|*CA*|*United States*|*92705*|*2670 N MAIN ST*|*FLOOR 3*|**|*SANTA ANA*|*CA*|*United States*|*92705*|*2670 N MAIN ST, FLOOR 3*|**|*SANTA ANA*|*CA*|*United States*|*92705*|**|*Law practice
Layalina LLC*|*B20260326050*|*07/15/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*22437 LA QUILLA DR*|**|*CHATSWORTH*|*CA*|*United States*|*91311*|*22437 LA QUILLA DR*|**|**|*CHATSWORTH*|*CA*|*United States*|*91311*|**|**|**|**|**|**|*One Manager*|*
Lazer Lotus LLC*|*B20260324359*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261454199*|*Jul 15 2026  2:21PM*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|**|*SACRAMENTO*|*CA*|*United States*|*95816*|*2108 N ST*|*STE N*|*SACRAMENTO*|*CA*|*United States*|*95816*|*All LLC Member(s)*|*Any lawful purpose
LazyBoxx Food L.L.C.*|*B20260328159*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|*BA20261465861*|*Jul 19 2026  2:32AM*|*2570 N. FIRST STREET SUITE 200-100A*|**|*SAN JOSE*|*CA*|*United States*|*95131*|*2570 N. FIRST STREET SUITE 200-100A PMB 70430*|**|**|*SAN JOSE*|*CA*|*United States*|*95131*|**|**|**|**|**|**|*One Manager*|*accommodation_and_food_service
LB 808 PROPERTIES, LLC*|*B20260328124*|*07/16/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*10417 SANTA CLARA STREET*|**|*CYPRESS*|*CA*|*United States*|*90630*|*10417 SANTA CLARA STREET*|**|**|*CYPRESS*|*CA*|*United States*|*90630*|**|**|**|**|**|**|*All LLC Member(s)*|*
LB GENERAL CONTRACTOR INC*|*B20260321313*|*07/13/2026*|*CALIFORNIA*|*Active*|*Good*|*Stock Corporation - CA - General*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*614 64TH ST*|**|*SAN DIEGO*|*CA*|*United States*|*92114*|*614 64TH ST*|**|**|*SAN DIEGO*|*CA*|*United States*|*92114*|**|**|**|**|**|**|**|*
LB LIQUIDATORS LLC*|*B20260324161*|*07/14/2026*|*CALIFORNIA*|*Active*|*Good*|*Limited Liability Company - CA*|*Domestic*|**|*Good*|*Good*|*Good*|**|**|*Jan  1 1900 12:00AM*|*5925 SANDWOOD ST*|**|*LAKEWOOD*|*CA*|*United States*|*90713*|*5925 SANDWOOD ST*|**|**|*LAKEWOOD*|*CA*|*United States*|*90713*|**|**|**|**|**|**|*All LLC Member(s)*|*
